config,query_id,query,topic,difficulty,mrr@5,p@5,hit@5,ndcg@5,mrr@10,p@10,hit@10,ndcg@10
A_BM25_only,q001,pemrograman Python untuk pemula,pemrograman,easy,1.0,0.2,1,1.0,1.0,0.1,1,1.0
A_BM25_only,q002,pemrograman berorientasi objek Java,pemrograman,easy,1.0,0.8,1,0.6621,1.0,0.8,1,0.7254
A_BM25_only,q003,struktur data dan algoritma,algoritma,easy,1.0,1.0,1,0.893,1.0,1.0,1,0.8988
A_BM25_only,q004,kecerdasan buatan machine learning,AI/ML,easy,1.0,1.0,1,0.9344,1.0,0.8,1,0.9868
A_BM25_only,q005,deep learning neural network,AI/ML,medium,1.0,0.4,1,0.6367,1.0,0.2,1,0.6367
A_BM25_only,q006,jaringan komputer protokol TCP IP,jaringan,easy,1.0,0.6,1,0.7735,1.0,0.7,1,0.8223
A_BM25_only,q007,keamanan jaringan kriptografi,jaringan,medium,1.0,0.8,1,0.8304,1.0,0.5,1,0.8487
A_BM25_only,q008,basis data relasional SQL,database,easy,0.25,0.4,1,0.2042,0.25,0.6,1,0.3653
A_BM25_only,q009,pengembangan aplikasi web HTML CSS JavaScript,web,easy,1.0,0.6,1,0.6998,1.0,0.3,1,0.6998
A_BM25_only,q010,sistem operasi manajemen proses memori,OS,medium,1.0,0.6,1,0.9469,1.0,0.3,1,0.9469
A_BM25_only,q011,matematika diskrit untuk ilmu komputer,matematika,medium,1.0,0.6,1,1.0,1.0,0.3,1,1.0
A_BM25_only,q012,data mining dan data warehouse,data,medium,1.0,0.4,1,0.7654,1.0,0.2,1,0.7654
A_BM25_only,q013,pemrograman mobile Android,mobile,medium,0.3333,0.2,1,0.3066,0.3333,0.2,1,0.525
A_BM25_only,q014,rekayasa perangkat lunak software engineering,RPL,medium,1.0,1.0,1,1.0,1.0,0.6,1,0.7994
A_BM25_only,q015,elektronika digital rangkaian logika,elektro,easy,1.0,1.0,1,0.9344,1.0,0.8,1,0.8661
A_BM25_only,q016,mikrokontroler Arduino embedded system,elektro,medium,1.0,0.6,1,0.6312,1.0,0.5,1,0.5971
A_BM25_only,q017,sistem tenaga listrik pembangkit,elektro,medium,1.0,1.0,1,0.9152,1.0,0.8,1,0.8966
A_BM25_only,q018,sinyal dan sistem telekomunikasi,elektro,hard,1.0,1.0,1,0.9013,1.0,0.9,1,0.9267
A_BM25_only,q019,termodinamika perpindahan panas,mesin,medium,1.0,1.0,1,0.8311,1.0,1.0,1,0.9615
A_BM25_only,q020,mekanika teknik statika dinamika,mesin,medium,1.0,1.0,1,0.9152,1.0,1.0,1,0.9752
A_BM25_only,q021,gambar teknik mesin manufaktur,mesin,easy,1.0,1.0,1,1.0,1.0,0.8,1,0.8701
A_BM25_only,q022,mekanika tanah pondasi bangunan,sipil,medium,1.0,1.0,1,1.0,1.0,1.0,1,1.0
A_BM25_only,q023,struktur beton bertulang konstruksi,sipil,medium,1.0,1.0,1,0.927,1.0,1.0,1,0.9399
A_BM25_only,q024,hidrolika dan drainase jalan,sipil,hard,1.0,1.0,1,0.8757,1.0,0.8,1,0.7961
A_BM25_only,q025,kimia organik reaksi senyawa karbon,kimia,medium,1.0,0.6,1,0.6548,1.0,0.6,1,0.7426
A_BM25_only,q026,kimia analitik laboratorium instrumen,kimia,medium,1.0,0.6,1,0.866,1.0,0.3,1,0.866
A_BM25_only,q027,teknik reaksi kimia perpindahan massa,kimia,hard,1.0,0.4,1,0.4852,1.0,0.2,1,0.4329
A_BM25_only,q028,akuntansi keuangan dasar laporan,akuntansi,easy,1.0,0.8,1,0.704,1.0,0.6,1,0.6849
A_BM25_only,q029,akuntansi biaya manajemen perusahaan,akuntansi,medium,1.0,0.8,1,0.8402,1.0,0.9,1,0.8862
A_BM25_only,q030,perpajakan dan audit keuangan,akuntansi,medium,0.5,0.2,1,0.214,0.5,0.3,1,0.2745
A_BM25_only,q031,manajemen sumber daya manusia organisasi,manajemen,easy,1.0,1.0,1,0.9795,1.0,1.0,1,0.9841
A_BM25_only,q032,pemasaran digital marketing strategi,manajemen,medium,1.0,0.6,1,0.5816,1.0,0.5,1,0.548
A_BM25_only,q033,kewirausahaan bisnis startup UMKM,manajemen,easy,1.0,0.6,1,0.7227,1.0,0.7,1,0.7564
A_BM25_only,q034,desain grafis tipografi layout,grafika,easy,1.0,0.6,1,0.7227,1.0,0.3,1,0.6448
A_BM25_only,q035,teknik cetak offset digital printing,grafika,medium,1.0,0.6,1,0.7968,1.0,0.4,1,0.7558
A_BM25_only,q036,buku buat belajar coding dari nol,pemrograman,hard,0.0,0.0,0,0.0,0.0,0.0,0,0.0
A_BM25_only,q037,referensi buat skripsi sistem informasi,SI,hard,1.0,1.0,1,0.5351,1.0,1.0,1,0.7225
A_BM25_only,q038,pengantar ilmu komputer mahasiswa semester 1,pengantar,easy,0.0,0.0,0,0.0,0.125,0.1,1,0.148
A_BM25_only,q039,buku statistika buat analisis data penelitian,statistik,medium,1.0,1.0,1,0.8879,1.0,0.5,1,0.7818
A_BM25_only,q040,pengantar ekonomi mikro makro,ekonomi,easy,1.0,1.0,1,0.9344,1.0,0.9,1,0.803
B_Dense_only,q001,pemrograman Python untuk pemula,pemrograman,easy,0.0,0.0,0,0.0,0.0,0.0,0,0.0
B_Dense_only,q002,pemrograman berorientasi objek Java,pemrograman,easy,1.0,0.8,1,0.7883,1.0,0.6,1,0.6726
B_Dense_only,q003,struktur data dan algoritma,algoritma,easy,1.0,0.2,1,0.3392,1.0,0.3,1,0.3255
B_Dense_only,q004,kecerdasan buatan machine learning,AI/ML,easy,1.0,0.2,1,0.3392,1.0,0.1,1,0.2635
B_Dense_only,q005,deep learning neural network,AI/ML,medium,0.0,0.0,0,0.0,0.0,0.0,0,0.0
B_Dense_only,q006,jaringan komputer protokol TCP IP,jaringan,easy,1.0,1.0,1,1.0,1.0,0.6,1,0.8162
B_Dense_only,q007,keamanan jaringan kriptografi,jaringan,medium,1.0,0.4,1,0.5531,1.0,0.2,1,0.4935
B_Dense_only,q008,basis data relasional SQL,database,easy,1.0,0.4,1,0.5087,1.0,0.3,1,0.4206
B_Dense_only,q009,pengembangan aplikasi web HTML CSS JavaScript,web,easy,0.5,0.2,1,0.1771,0.5,0.2,1,0.3643
B_Dense_only,q010,sistem operasi manajemen proses memori,OS,medium,1.0,0.2,1,0.4693,1.0,0.1,1,0.4693
B_Dense_only,q011,matematika diskrit untuk ilmu komputer,matematika,medium,1.0,0.4,1,0.8403,1.0,0.2,1,0.8403
B_Dense_only,q012,data mining dan data warehouse,data,medium,1.0,0.6,1,0.8855,1.0,0.3,1,0.8855
B_Dense_only,q013,pemrograman mobile Android,mobile,medium,0.3333,0.2,1,0.3066,0.3333,0.1,1,0.3066
B_Dense_only,q014,rekayasa perangkat lunak software engineering,RPL,medium,1.0,1.0,1,0.753,1.0,0.8,1,0.7766
B_Dense_only,q015,elektronika digital rangkaian logika,elektro,easy,0.5,0.4,1,0.2988,0.5,0.5,1,0.4996
B_Dense_only,q016,mikrokontroler Arduino embedded system,elektro,medium,1.0,0.8,1,0.7356,1.0,0.4,1,0.5528
B_Dense_only,q017,sistem tenaga listrik pembangkit,elektro,medium,0.5,0.6,1,0.4448,0.5,0.7,1,0.5209
B_Dense_only,q018,sinyal dan sistem telekomunikasi,elektro,hard,1.0,0.6,1,0.5113,1.0,0.4,1,0.4813
B_Dense_only,q019,termodinamika perpindahan panas,mesin,medium,0.5,0.6,1,0.4887,0.5,0.5,1,0.4735
B_Dense_only,q020,mekanika teknik statika dinamika,mesin,medium,1.0,1.0,1,0.6918,1.0,0.9,1,0.7045
B_Dense_only,q021,gambar teknik mesin manufaktur,mesin,easy,0.0,0.0,0,0.0,0.1111,0.1,1,0.0663
B_Dense_only,q022,mekanika tanah pondasi bangunan,sipil,medium,1.0,1.0,1,0.9563,1.0,0.7,1,0.8209
B_Dense_only,q023,struktur beton bertulang konstruksi,sipil,medium,1.0,1.0,1,0.8274,1.0,0.8,1,0.7809
B_Dense_only,q024,hidrolika dan drainase jalan,sipil,hard,1.0,1.0,1,0.6439,1.0,0.5,1,0.4775
B_Dense_only,q025,kimia organik reaksi senyawa karbon,kimia,medium,1.0,0.8,1,0.8688,1.0,0.6,1,0.8039
B_Dense_only,q026,kimia analitik laboratorium instrumen,kimia,medium,1.0,0.4,1,0.6275,1.0,0.2,1,0.6275
B_Dense_only,q027,teknik reaksi kimia perpindahan massa,kimia,hard,0.0,0.0,0,0.0,0.0,0.0,0,0.0
B_Dense_only,q028,akuntansi keuangan dasar laporan,akuntansi,easy,0.25,0.2,1,0.1563,0.25,0.3,1,0.2043
B_Dense_only,q029,akuntansi biaya manajemen perusahaan,akuntansi,medium,1.0,0.8,1,0.7292,1.0,0.4,1,0.5194
B_Dense_only,q030,perpajakan dan audit keuangan,akuntansi,medium,0.5,0.4,1,0.3836,0.5,0.3,1,0.3152
B_Dense_only,q031,manajemen sumber daya manusia organisasi,manajemen,easy,1.0,0.6,1,0.7483,1.0,0.4,1,0.6247
B_Dense_only,q032,pemasaran digital marketing strategi,manajemen,medium,1.0,0.8,1,0.6622,1.0,0.4,1,0.5135
B_Dense_only,q033,kewirausahaan bisnis startup UMKM,manajemen,easy,1.0,0.4,1,0.4852,1.0,0.3,1,0.3933
B_Dense_only,q034,desain grafis tipografi layout,grafika,easy,0.5,0.2,1,0.214,0.5,0.3,1,0.3862
B_Dense_only,q035,teknik cetak offset digital printing,grafika,medium,0.5,0.6,1,0.341,0.5,0.5,1,0.471
