id,kategori,deskripsi,input,expect_oos,query_type_actual,status,keterangan,answer,elapsed_s,error
TC-01,Informasi Umum,Jam buka Senin–Kamis,Jam berapa perpustakaan PNJ buka pada hari Senin sampai Kamis?,False,general_info,LULUS,OK,Perpustakaan Politeknik Negeri Jakarta buka pada hari Senin sampai Kamis pukul **08.00 - 16.00 WIB**.,24.7,
TC-02,Informasi Umum,Denda keterlambatan,Berapa denda jika terlambat mengembalikan buku di perpustakaan PNJ?,False,general_info,LULUS,OK,"Denda keterlambatan pengembalian buku adalah **Rp 1.000,- (seribu rupiah) per buku per hari**. Pembayaran denda disetorkan ke rekening BLU Politeknik Negeri Jakarta sesuai ketentuan yang berlaku. Selama sanksi belum terpenuhi, pemustaka tidak diizinkan meminjam buku.",23.87,
TC-03,Informasi Umum,Prosedur peminjaman,Bagaimana prosedur peminjaman buku di perpustakaan PNJ?,False,general_info,LULUS,OK,"Berdasarkan konteks yang diberikan, prosedur peminjaman buku di perpustakaan PNJ adalah sebagai berikut:  1.  Pemustaka datang, kemudian mengisi daftar kunjungan online pada otomasi perpustakaan (atau daftar kunjungan pada otomasi SLiMs). 2.  Pemustaka menitipkan tas dan jaket pada tempat penitipan yang sudah disediakan serta menggunakan tas plastik mika yang sudah disediakan selama di dalam ruangan perpustakaan. 3.  Pemustaka melakukan pengecekan pada katalog online untuk melihat bahan pustaka yang dicari atau langsung menuju rak koleksi bahan pustaka, kemudian mencari, memilih dan mengambil buku sesuai kepentingannya. 4.  Pemustaka membawa buku yang sudah dipilih ke depan meja sirkulasi (meja sirk).  Selain itu, syarat peminjaman adalah pemustaka harus menjadi anggota perpustakaan (civitas akademika Politeknik Negeri Jakarta sudah otomatis menjadi anggota), maksimal peminjaman adalah 2 judul dengan masa peminjaman selama 2 minggu dan dapat diperpanjang 1 kali.",27.27,
TC-04,Informasi Umum,"Batas jumlah pinjam (2 judul, TATIB resmi berlaku)",Berapa banyak buku yang bisa dipinjam sekaligus oleh mahasiswa?,False,general_info,LULUS,OK,Mahasiswa dapat meminjam maksimal 2 Judul buku sekaligus.,21.05,
TC-05,Informasi Umum,Lokasi perpustakaan,Di mana lokasi perpustakaan PNJ?,False,general_info,LULUS,OK,"Berdasarkan konteks, lokasi perpustakaan PNJ tidak disebutkan secara spesifik (seperti nama gedung atau alamat lengkap) melainkan hanya disebut sebagai **UPA Perpustakaan** dan berlokasi di **Kampus Baru UI, Depok**.  Fakta yang ada di konteks: - Alamat institusi terkait: Jalan Prof. Dr.G.A.Siwabessy, Kampus Baru UI, Depok 16425 (dari dokumen Laporan Pendampingan Akreditasi). - Lokasi kegiatan layanan disebut sebagai ""UPA Perpustakaan"" atau lokasi pelaksanaan pendampingan akreditasi pada hari Selasa, tanggal 14 November 2023 di UPA Perpustakaan.  Maaf, informasi mengenai alamat lengkap gedung perpustakaan yang lebih detail tidak tersedia dalam basis pengetahuan saya. Silakan hubungi petugas perpustakaan secara langsung atau kunjungi https://perpustakaan.pnj.ac.id/",27.73,
TC-06,Informasi Umum,Kontak perpustakaan,Bagaimana cara menghubungi perpustakaan PNJ?,False,general_info,LULUS,OK,"Anda dapat menghubungi perpustakaan PNJ melalui:  - **Telepon**: 021-7270036 ext. 303   - **WhatsApp**: 087886168799   - **Email**: perpustakaan@pnj.ac.id    Lokasi perpustakaan berada di Jl. Prof. DR. G.A. Siwabessy, Kampus Universitas Indonesia, Depok 16425.",25.54,
TC-07,Informasi Umum,Sistem layanan open access,"Apa sistem layanan di perpustakaan PNJ, open access atau closed access?",False,general_info,LULUS,OK,"Sistem layanan di Perpustakaan PNJ adalah sistem **campuran** (gabungan antara open access dan closed access).  Berdasarkan konteks: *   Sistem layanan Perpustakaan Politeknik Negeri Jakarta merupakan gabungan layanan terbuka (*open access*) dan tertutup (*closed access*).     *   Layanan terbuka meliputi: baca, sirkulasi, internet, penelusuran informasi.     *   Layanan tertutup meliputi: administrasi pemustaka dan referensi (koleksi referensi tidak dapat diambil sendiri).",23.59,
TC-08,Informasi Umum,Akses tugas akhir/skripsi,Apakah perpustakaan PNJ menyediakan akses untuk tugas akhir atau skripsi mahasiswa?,False,general_info,LULUS,OK,"Ya, perpustakaan PNJ menyediakan akses untuk tugas akhir atau skripsi mahasiswa melalui layanan referensi dan repository digital. Perpustakaan membantu pengguna menemukan koleksi tugas akhir, skripsi, thesis, dan laporan praktek kerja lapangan mahasiswa PNJ. Repository digital dapat diakses di http://repository.pnj.ac.id/.",22.31,
TC-09,Pencarian Katalog,Cari buku machine learning,Ada buku tentang machine learning di perpustakaan PNJ?,False,book_search,LULUS,OK,"Berikut adalah buku-buku yang relevan dengan topik **Machine Learning** di koleksi perpustakaan Politeknik Negeri Jakarta:  1.  **Judul:** Machine Learning : Tingkat Dasar dan Lanjut     *   **Penulis:** Suyanto     *   **Nomor Rak:** 005.7 SUY m     *   **Stok:** 3 dari 3 eksemplar tersedia     *   **Alasan Rekomendasi:** Buku ini secara eksplisit membahas konsep dasar, teknik-teknik, dan metode-metode tingkat dasar hingga lanjut mengenai machine learning serta aplikasinya dalam berbagai bidang.  2.  **Judul:** Belajar Machine Learning : Teori dan Praktik     *   **Penulis:** Primartha, Rifkie     *   **Nomor Rak:** 005.7 PRI b     *   **Stok:** 3 dari 3 eksemplar tersedia     *   **Alasan Rekomendasi:** Judul buku ini secara langsung merujuk pada ""Machine Learning"" dan mencakup aspek teori serta praktik, termasuk pemrograman dengan bahasa seperti Python yang umum digunakan dalam bidang tersebut.  3.  **Judul:** Phyton Natural Language Processing : Explore NLP with machine learning and deep learning techniques     *   **Penulis:** Thanaki, Jajaj     *   **Nomor Rak:** 005.13 THA p     *   **Stok:** 3 dari 3 eksemplar tersedia     *   **Alasan Rekomendasi:** Buku ini secara spesifik membahas penggunaan teknik machine learning dan deep learning untuk pemrosesan bahasa alami (NLP), yang merupakan sub-bidang penting dalam ilmu data.  4.  **Judul:** Signal Processing and Machine Learning for Biomedical Big Data     *   **Penulis:** Sejdic, Earvin.; H. Falk, Tiago     *   **Nomor Rak:** 621.382 SEJ s     *   **Stok:** 5 dari 5 eksemplar tersedia     *   **Alasan Rekomendasi:** Judul buku ini secara langsung menyebutkan ""Machine Learning"" dalam konteks aplikasi pada data biomedis dan pemrosesan sinyal, yang merupakan penerapan spesifik dari topik utama.  Seluruh koleksi di atas adalah satu-satunya buku yang relevan dengan Machine Learning yang tersedia di daftar perpustakaan PNJ saat ini.  _ℹ️ Ringkasan/alasan buku dirangkum otomatis dari metadata (bukan kutipan resmi); untuk detail isi, periksa bukunya langsung._",35.0,
TC-10,Pencarian Katalog,Cari buku Python,Saya butuh buku pemrograman Python untuk tugas kuliah,False,book_search,LULUS,OK,"Berikut adalah buku yang relevan untuk tugas kuliah pemrograman Python dari koleksi Politeknik Negeri Jakarta:  **1. Modul Algoritma Dan Pemrograman Menggunakan Python** *   **Penulis:** Asep Taufik Muharram, Iklima Ermis Ismail, Mauldy Laya *   **Nomor Rak:** 518.1 ISM m *   **Stok:** 2 dari 2 eksemplar tersedia  Meskipun deskripsi buku ini secara spesifik menyebutkan bidang matematika (aljabar, geometri, dll), judulnya secara eksplisit menyatakan ""Pemrograman Menggunakan Python"", yang menjadikannya sangat relevan untuk kebutuhan tugas kuliah pemrograman bahasa tersebut. Buku lain dalam daftar memiliki stok 0 atau fokus pada topik seperti web programming dan PLC tanpa menyebut Python secara spesifik di deskripsinya.  _ℹ️ Ringkasan/alasan buku dirangkum otomatis dari metadata (bukan kutipan resmi); untuk detail isi, periksa bukunya langsung._",23.77,
