question,answer,faithfulness,answer_relevancy
Jam berapa perpustakaan PNJ buka pada hari Senin sampai Kamis?,"Berdasarkan konteks yang tersedia, jam buka perpustakaan PNJ pada hari Senin sampai Kamis adalah pukul 08.00 hingga 16.00 WIB.",0.25,0.9623394012451172
Jam berapa perpustakaan PNJ buka pada hari Jumat?,"Berdasarkan konteks yang tersedia, jam buka perpustakaan PNJ pada hari Jumat adalah pukul 08.00 hingga 16.30 WIB.",1.0,0.9854769706726074
Apakah perpustakaan PNJ buka pada hari Sabtu dan Minggu?,"Maaf, informasi tersebut tidak tersedia dalam basis pengetahuan saya. Silakan hubungi petugas perpustakaan secara langsung atau kunjungi https://perpustakaan.pnj.ac.id/",0.6666666666666666,0.7241489291191101
Berapa banyak buku yang bisa dipinjam sekaligus oleh mahasiswa?,"Berdasarkan konteks yang diberikan, terdapat perbedaan aturan antara dokumen ""TATIB PERPUS.pdf"" dan ""PEDOMAN LAYANAN PERPUSTAKAAN .pdf"":

*   Dokumen **TATIB PERPUS.pdf** (bagian C.d) menyatakan: ""Peminjaman bahan pustaka buku maksimal setiap pemustaka adalah **2 Judul**.""
*   Dokumen **PEDOMAN LAYANAN PERPUSTAKAAN .pdf** (bagian 3.2.2) menyatakan: ""Maksimal peminjaman buku **2 judul**...""

Namun, dokumen **2026 DRAFT PERATURAN TATIB terbaru2026.docx.pdf** (bagian 1.3) menyatakan aturan yang berbeda: ""Jumlah maksimal peminjaman adalah **3 (tiga) judul buku** per pemustaka.""

Karena konteks ini menyajikan dua aturan yang berbeda (2 judul vs 3 judul) dari dokumen yang berbeda, tidak ada satu jawaban tunggal yang dapat dikonfirmasi tanpa mengetahui dokumen mana yang berlaku saat ini (apakah aturan lama di TATIB PERPUS atau aturan baru di DRAFT 2026).

Maaf, informasi tersebut tidak tersedia dalam basis pengetahuan saya. Silakan hubungi petugas perpustakaan secara langsung atau kunjungi https://perpustakaan.pnj.ac.id/",0.8,0.6745161414146423
Berapa lama masa peminjaman buku di perpustakaan PNJ?,Masa peminjaman buku di perpustakaan PNJ adalah 2 minggu (14 hari) dan dapat diperpanjang 1 kali.,1.0,0.9475074410438538
Berapa kali peminjaman buku bisa diperpanjang?,"Berdasarkan konteks yang diberikan, masa peminjaman buku dapat diperpanjang **1 kali**.

Informasi ini ditemukan di beberapa sumber dalam konteks:
1.  **PEDOMAN LAYANAN PERPUSTAKAAN .pdf**: Menyatakan ""dapat diperpanjang 1 kali masa peminjaman"".
2.  **2026 DRAFT PERATURAN TATIB terbaru2026.docx.pdf**: Menyatakan ""dapat diperpanjang 1 (satu) kali"".
3.  **TATIB PERPUS.pdf**: Menyatakan ""dapat diperpanjang satu kali"".",0.5,0.8761855959892273
Bagaimana prosedur perpanjangan masa pinjam buku di perpustakaan PNJ?,"Berdasarkan konteks yang diberikan, prosedur perpanjangan masa pinjam buku adalah sebagai berikut:

Pemustaka dapat memperpanjang masa peminjaman **1 kali** masa peminjaman.

*Catatan tambahan dari konteks:*
*   Masa peminjaman awal adalah selama 2 minggu (14 hari).
*   Maksimal jumlah peminjaman adalah 2 judul (sesuai PEDOMAN LAYANAN PERPUSTAKAAN) atau 3 judul (sesuai DRAFT PERATURAN TATIB terbaru 2026).
*   Perpanjangan ini berlaku untuk buku teks. Koleksi referensi tertentu (seperti Tugas Akhir, Skripsi, Thesis, laporan PKL, Laporan Penelitian, Kamus, Ensiklopedia, Buku Diktat, Buku Ajar) hanya dapat dibaca di tempat dan tidak dapat dipinjam.",0.6666666666666666,0.66460120677948
Apakah ada denda jika terlambat mengembalikan buku di perpustakaan PNJ?,"Ya, ada denda jika terlambat mengembalikan buku di perpustakaan PNJ.

Nilai denda adalah **Rp 1.000,- (Seribu rupiah) per buku per hari**. Pembayaran denda disetorkan ke rekening BLU Politeknik Negeri Jakarta sesuai ketentuan yang berlaku.",1.0,0.9718663096427917
Apa yang terjadi jika buku yang dipinjam hilang atau rusak?,"Jika buku yang dipinjam hilang atau rusak, pemustaka wajib mengganti koleksi yang hilang dengan buku yang sama atau dengan subjek sejenis.

Jika buku rusak, pemustaka harus melaporkannya langsung kepada petugas perpustakaan dan tidak diperkenankan mencoba memperbaiki sendiri.

Selama kewajiban penggantian belum dipenuhi, pemustaka tidak diperkenankan melakukan peminjaman buku.

Selain itu, buku yang hilang atau rusak wajib diganti dengan buku yang sama atau diganti dengan buku yang subyek, jumlah halaman dan tahun terbit sama.",1.0,0.8623630404472351
Apakah mahasiswa PNJ perlu mendaftar untuk menjadi anggota perpustakaan?,"Ya, mahasiswa PNJ secara otomatis menjadi anggota perpustakaan dan berhak memanfaatkan seluruh layanan perpustakaan sesuai ketentuan yang berlaku.",1.0,0.8963271975517273
Bagaimana prosedur peminjaman buku di perpustakaan PNJ?,"Berdasarkan konteks yang diberikan, prosedur peminjaman buku di perpustakaan PNJ adalah sebagai berikut:

1.  **Syarat Anggota**: Pemustaka (khususnya civitas akademika Politeknik Negeri Jakarta) sudah otomatis menjadi anggota perpustakaan.
2.  **Persiapan Kedatangan**:
    *   Pemustaka datang dan mengisi daftar kunjungan pada otomasi SLiMs (online).
    *   Menitipkan tas dan jaket di tempat penitipan yang disediakan serta menggunakan tas plastik mika yang disediakan selama di dalam ruangan.
3.  **Pencarian dan Pemilihan Buku**:
    *   Melakukan pengecekan pada katalog online untuk melihat bahan pustaka yang dicari atau langsung menuju rak koleksi bahan pustaka.
    *   Mencari, memilih, dan mengambil buku sesuai kepentingan.
4.  **Proses Peminjaman**:
    *   Membawa buku yang sudah dipilih ke depan meja sirkulasi.
    *   Peminjaman buku bersifat terbuka (open access) untuk buku teks, sedangkan koleksi referensi (seperti Tugas Akhir, Skripsi, Thesis, laporan PKL, Laporan Penelitian, Kamus, Ensiklopedia, Buku Diktat, Buku Ajar) hanya dapat dibaca di tempat.
5.  **Batasan Peminjaman**:
    *   Maksimal peminjaman buku adalah 2 judul (sesuai TATIB PERPUS) atau 3 judul (sesuai DRAFT PERATURAN TATIB terbaru 2026).
    *   Masa peminjaman selama 2 minggu dan dapat diperpanjang 1 kali masa peminjaman.
    *   Peminjaman buku tidak dapat dilakukan setelah UAS sampai dengan [tanggal tidak tercantum di konteks].",0.6923076923076923,0.9296574592590332
